N pessoas,N máquinas usando agua,Vazão Total,Vazão 1,Vazão 2,Vazão 3,Vazamento,Normal,,,Tempo de simulação em segundos,Horário,,,Inicio expedianete,Fim expediente,Meio expediete
0,1,0.09,0.03,0.04,0.03,0,1,,,10350,02:52:30,,,,,
0,2,0.18,0.07,0.05,0.06,0,1,,,10380,02:53:00,,,,,
0,3,0.29,0.11,0.09,0.10,0,1,,,10410,02:53:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10440,02:54:00,,,,,
0,3,0.25,0.09,0.08,0.09,0,1,,,10470,02:54:30,,,,,
0,5,0.49,0.17,0.14,0.18,0,1,,,10500,02:55:00,,,,,
0,4,0.38,0.13,0.12,0.13,0,1,,,10530,02:55:30,,,,,
0,4,0.32,0.10,0.11,0.11,0,1,,,10560,02:56:00,,,,,
0,5,0.48,0.13,0.16,0.20,0,1,,,10590,02:56:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10620,02:57:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10650,02:57:30,,,,,
0,4,0.42,0.13,0.15,0.13,0,1,,,10680,02:58:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10710,02:58:30,,,,,
0,2,0.18,0.06,0.05,0.08,0,1,,,10740,02:59:00,,,,,
0,3,0.30,0.10,0.11,0.09,0,1,,,10770,02:59:30,,,,,
0,3,0.30,0.10,0.08,0.12,0,1,,,10800,03:00:00,,,,,
0,4,0.38,0.16,0.10,0.12,0,1,,,10830,03:00:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10860,03:01:00,,,,,
0,2,0.20,0.07,0.08,0.05,0,1,,,10890,03:01:30,,,,,
0,5,0.52,0.19,0.14,0.19,0,1,,,10920,03:02:00,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,10950,03:02:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10980,03:03:00,,,,,
0,3,0.23,0.08,0.08,0.08,0,1,,,11010,03:03:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11040,03:04:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,11070,03:04:30,,,,,
0,4,0.36,0.11,0.13,0.13,0,1,,,11100,03:05:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11130,03:05:30,,,,,
0,3,0.27,0.08,0.08,0.11,0,1,,,11160,03:06:00,,,,,
0,2,0.17,0.06,0.06,0.05,0,1,,,11190,03:06:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11220,03:07:00,,,,,
0,4,0.34,0.11,0.11,0.13,0,1,,,11250,03:07:30,,,,,
0,4,0.36,0.13,0.12,0.11,0,1,,,11280,03:08:00,,,,,
0,5,0.44,0.15,0.15,0.14,0,1,,,11310,03:08:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11340,03:09:00,,,,,
0,1,0.10,0.04,0.04,0.03,0,1,,,11370,03:09:30,,,,,
0,5,0.53,0.19,0.17,0.17,0,1,,,11400,03:10:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11430,03:10:30,,,,,
0,2,0.23,0.08,0.07,0.08,0,1,,,11460,03:11:00,,,,,
0,3,0.26,0.08,0.10,0.08,0,1,,,11490,03:11:30,,,,,
0,3,0.24,0.09,0.08,0.08,0,1,,,11520,03:12:00,,,,,
0,4,0.31,0.10,0.10,0.11,0,1,,,11550,03:12:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,11580,03:13:00,,,,,
0,2,0.19,0.05,0.07,0.07,0,1,,,11610,03:13:30,,,,,
0,4,0.44,0.15,0.13,0.15,0,1,,,11640,03:14:00,,,,,
0,4,0.43,0.16,0.15,0.11,0,1,,,11670,03:14:30,,,,,
0,3,0.25,0.08,0.08,0.08,0,1,,,11700,03:15:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,11730,03:15:30,,,,,
0,3,0.28,0.08,0.11,0.09,0,1,,,11760,03:16:00,,,,,
0,3,0.25,0.08,0.08,0.09,0,1,,,11790,03:16:30,,,,,
0,2,0.21,0.06,0.08,0.07,0,1,,,11820,03:17:00,,,,,
0,1,0.11,0.03,0.04,0.04,0,1,,,11850,03:17:30,,,,,
0,4,0.37,0.14,0.11,0.12,0,1,,,11880,03:18:00,,,,,
0,4,0.41,0.15,0.15,0.11,0,1,,,11910,03:18:30,,,,,
0,2,0.19,0.06,0.06,0.06,0,1,,,11940,03:19:00,,,,,
0,3,0.25,0.09,0.08,0.09,0,1,,,11970,03:19:30,,,,,
0,4,0.43,0.13,0.16,0.14,0,1,,,12000,03:20:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,12030,03:20:30,,,,,
0,5,0.53,0.18,0.19,0.17,0,1,,,12060,03:21:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,12090,03:21:30,,,,,
0,2,0.21,0.07,0.06,0.08,0,1,,,12120,03:22:00,,,,,
0,4,0.40,0.13,0.14,0.13,0,1,,,12150,03:22:30,,,,,
0,2,1.18,0.06,0.05,0.07,1,0,,,12180,03:23:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,12210,03:23:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,12240,03:24:00,,,,,
0,1,0.11,0.04,0.03,0.04,0,1,,,12270,03:24:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,12300,03:25:00,,,,,
0,4,0.40,0.15,0.13,0.12,0,1,,,12330,03:25:30,,,,,
0,3,0.29,0.11,0.08,0.10,0,1,,,12360,03:26:00,,,,,
0,5,0.46,0.13,0.14,0.19,0,1,,,12390,03:26:30,,,,,
0,2,0.18,0.05,0.07,0.06,0,1,,,12420,03:27:00,,,,,
0,3,0.25,0.09,0.08,0.08,0,1,,,12450,03:27:30,,,,,
0,2,0.19,0.06,0.07,0.05,0,1,,,12480,03:28:00,,,,,
0,4,0.39,0.14,0.11,0.13,0,1,,,12510,03:28:30,,,,,
0,1,0.10,0.03,0.03,0.03,0,1,,,12540,03:29:00,,,,,
0,4,0.37,0.11,0.13,0.14,0,1,,,12570,03:29:30,,,,,
0,3,0.24,0.08,0.08,0.09,0,1,,,12600,03:30:00,,,,,
0,3,0.28,0.09,0.08,0.12,0,1,,,12630,03:30:30,,,,,
0,2,0.22,0.06,0.07,0.08,0,1,,,12660,03:31:00,,,,,
0,4,0.41,0.16,0.11,0.14,0,1,,,12690,03:31:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,12720,03:32:00,,,,,
0,3,0.28,0.08,0.11,0.10,0,1,,,12750,03:32:30,,,,,
0,2,0.20,0.07,0.07,0.06,0,1,,,12780,03:33:00,,,,,
0,5,0.48,0.19,0.16,0.14,0,1,,,12810,03:33:30,,,,,
0,3,0.26,0.10,0.08,0.09,0,1,,,12840,03:34:00,,,,,
0,3,0.27,0.10,0.08,0.09,0,1,,,12870,03:34:30,,,,,
0,3,0.27,0.12,0.08,0.08,0,1,,,12900,03:35:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,12930,03:35:30,,,,,
0,1,0.09,0.03,0.04,0.03,0,1,,,12960,03:36:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,12990,03:36:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13020,03:37:00,,,,,
0,2,0.20,0.07,0.07,0.05,0,1,,,13050,03:37:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,13080,03:38:00,,,,,
0,2,0.20,0.07,0.05,0.07,0,1,,,13110,03:38:30,,,,,
0,3,0.32,0.11,0.11,0.09,0,1,,,13140,03:39:00,,,,,
0,3,0.28,0.10,0.10,0.08,0,1,,,13170,03:39:30,,,,,
0,5,0.47,0.13,0.17,0.17,0,1,,,13200,03:40:00,,,,,
0,4,0.38,0.13,0.12,0.14,0,1,,,13230,03:40:30,,,,,
0,3,0.26,0.10,0.09,0.08,0,1,,,13260,03:41:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13290,03:41:30,,,,,
0,3,0.30,0.09,0.09,0.12,0,1,,,13320,03:42:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13350,03:42:30,,,,,
0,5,0.55,0.18,0.20,0.17,0,1,,,13380,03:43:00,,,,,
0,2,0.21,0.08,0.05,0.08,0,1,,,13410,03:43:30,,,,,
0,3,0.28,0.11,0.08,0.09,0,1,,,13440,03:44:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13470,03:44:30,,,,,
0,2,0.18,0.06,0.05,0.06,0,1,,,13500,03:45:00,,,,,
0,4,0.37,0.11,0.12,0.13,0,1,,,13530,03:45:30,,,,,
0,2,0.18,0.07,0.06,0.06,0,1,,,13560,03:46:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,13590,03:46:30,,,,,
0,2,0.20,0.07,0.07,0.06,0,1,,,13620,03:47:00,,,,,
0,2,0.18,0.06,0.06,0.05,0,1,,,13650,03:47:30,,,,,
0,4,0.34,0.13,0.11,0.11,0,1,,,13680,03:48:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,13710,03:48:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,13740,03:49:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13770,03:49:30,,,,,
0,5,0.51,0.15,0.20,0.16,0,1,,,13800,03:50:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13830,03:50:30,,,,,
0,4,0.38,0.10,0.14,0.14,0,1,,,13860,03:51:00,,,,,
0,5,0.40,0.13,0.13,0.14,0,1,,,13890,03:51:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13920,03:52:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,13950,03:52:30,,,,,
0,2,0.21,0.07,0.08,0.06,0,1,,,13980,03:53:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,14010,03:53:30,,,,,
0,2,0.17,0.07,0.05,0.05,0,1,,,14040,03:54:00,,,,,
0,4,0.32,0.10,0.11,0.10,0,1,,,14070,03:54:30,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,14100,03:55:00,,,,,
0,1,0.11,0.03,0.04,0.04,0,1,,,14130,03:55:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,14160,03:56:00,,,,,
0,2,0.21,0.06,0.08,0.08,0,1,,,14190,03:56:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,14220,03:57:00,,,,,
0,5,0.38,0.13,0.13,0.13,0,1,,,14250,03:57:30,,,,,
0,3,0.32,0.11,0.11,0.10,0,1,,,14280,03:58:00,,,,,
0,2,0.19,0.06,0.06,0.08,0,1,,,14310,03:58:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,14340,03:59:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,14370,03:59:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,14400,04:00:00,,,,,
0,3,0.29,0.10,0.12,0.08,0,1,,,14430,04:00:30,,,,,
0,5,0.48,0.18,0.17,0.13,0,1,,,14460,04:01:00,,,,,
0,3,0.29,0.09,0.10,0.10,0,1,,,14490,04:01:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,14520,04:02:00,,,,,
0,3,0.32,0.11,0.10,0.11,0,1,,,14550,04:02:30,,,,,
0,5,0.47,0.14,0.14,0.19,0,1,,,14580,04:03:00,,,,,
0,2,0.17,0.06,0.06,0.06,0,1,,,14610,04:03:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,14640,04:04:00,,,,,
0,4,0.38,0.14,0.11,0.13,0,1,,,14670,04:04:30,,,,,
0,5,0.44,0.13,0.15,0.17,0,1,,,14700,04:05:00,,,,,
0,4,0.37,0.12,0.14,0.11,0,1,,,14730,04:05:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,14760,04:06:00,,,,,
0,4,0.35,0.13,0.10,0.12,0,1,,,14790,04:06:30,,,,,
0,3,0.27,0.09,0.08,0.10,0,1,,,14820,04:07:00,,,,,
0,4,0.42,0.13,0.16,0.14,0,1,,,14850,04:07:30,,,,,
0,5,0.46,0.15,0.13,0.18,0,1,,,14880,04:08:00,,,,,
0,4,0.36,0.11,0.14,0.11,0,1,,,14910,04:08:30,,,,,
0,3,0.26,0.09,0.09,0.08,0,1,,,14940,04:09:00,,,,,
0,1,0.10,0.03,0.04,0.03,0,1,,,14970,04:09:30,,,,,
0,5,0.44,0.18,0.13,0.14,0,1,,,15000,04:10:00,,,,,
0,3,0.29,0.08,0.10,0.12,0,1,,,15030,04:10:30,,,,,
0,3,0.29,0.10,0.09,0.10,0,1,,,15060,04:11:00,,,,,
0,2,0.16,0.06,0.05,0.05,0,1,,,15090,04:11:30,,,,,
0,3,0.24,0.08,0.08,0.08,0,1,,,15120,04:12:00,,,,,
0,3,0.30,0.11,0.09,0.10,0,1,,,15150,04:12:30,,,,,
0,1,0.11,0.04,0.03,0.04,0,1,,,15180,04:13:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,15210,04:13:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,15240,04:14:00,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,15270,04:14:30,,,,,
0,5,0.50,0.14,0.19,0.17,0,1,,,15300,04:15:00,,,,,
0,3,0.29,0.11,0.10,0.08,0,1,,,15330,04:15:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,15360,04:16:00,,,,,
0,4,0.34,0.10,0.13,0.11,0,1,,,15390,04:16:30,,,,,
0,1,0.11,0.04,0.03,0.04,0,1,,,15420,04:17:00,,,,,
0,5,0.41,0.14,0.14,0.13,0,1,,,15450,04:17:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,15480,04:18:00,,,,,
0,2,0.17,0.05,0.05,0.07,0,1,,,15510,04:18:30,,,,,
0,5,0.43,0.17,0.14,0.13,0,1,,,15540,04:19:00,,,,,
0,4,0.35,0.11,0.11,0.14,0,1,,,15570,04:19:30,,,,,
0,4,0.38,0.10,0.15,0.13,0,1,,,15600,04:20:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,15630,04:20:30,,,,,
0,3,0.28,0.09,0.09,0.10,0,1,,,15660,04:21:00,,,,,
0,2,0.17,0.06,0.06,0.05,0,1,,,15690,04:21:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,15720,04:22:00,,,,,
0,4,0.40,0.10,0.16,0.14,0,1,,,15750,04:22:30,,,,,
0,5,0.39,0.13,0.13,0.13,0,1,,,15780,04:23:00,,,,,
0,5,0.40,0.15,0.13,0.13,0,1,,,15810,04:23:30,,,,,
0,1,0.10,0.04,0.03,0.04,0,1,,,15840,04:24:00,,,,,
0,4,0.35,0.12,0.11,0.13,0,1,,,15870,04:24:30,,,,,
0,5,0.46,0.14,0.15,0.17,0,1,,,15900,04:25:00,,,,,
0,5,0.44,0.16,0.15,0.13,0,1,,,15930,04:25:30,,,,,
0,1,0.09,0.03,0.03,0.04,0,1,,,15960,04:26:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,15990,04:26:30,,,,,
0,3,0.31,0.09,0.11,0.10,0,1,,,16020,04:27:00,,,,,
0,3,0.31,0.10,0.09,0.12,0,1,,,16050,04:27:30,,,,,
0,5,0.44,0.16,0.15,0.13,0,1,,,16080,04:28:00,,,,,
0,3,0.30,0.10,0.11,0.09,0,1,,,16110,04:28:30,,,,,
0,3,0.28,0.08,0.12,0.09,0,1,,,16140,04:29:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,16170,04:29:30,,,,,
0,3,0.33,0.11,0.10,0.12,0,1,,,16200,04:30:00,,,,,
0,4,0.39,0.11,0.15,0.13,0,1,,,16230,04:30:30,,,,,
0,3,0.29,0.09,0.12,0.09,0,1,,,16260,04:31:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,16290,04:31:30,,,,,
0,5,0.49,0.17,0.15,0.18,0,1,,,16320,04:32:00,,,,,
0,2,0.20,0.07,0.05,0.08,0,1,,,16350,04:32:30,,,,,
0,5,0.44,0.16,0.15,0.13,0,1,,,16380,04:33:00,,,,,
0,4,0.35,0.13,0.10,0.12,0,1,,,16410,04:33:30,,,,,
0,2,0.21,0.08,0.06,0.08,0,1,,,16440,04:34:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,16470,04:34:30,,,,,
0,1,0.10,0.03,0.04,0.03,0,1,,,16500,04:35:00,,,,,
0,3,0.29,0.10,0.08,0.12,0,1,,,16530,04:35:30,,,,,
0,4,0.31,0.10,0.10,0.11,0,1,,,16560,04:36:00,,,,,
0,3,0.32,0.12,0.12,0.08,0,1,,,16590,04:36:30,,,,,
0,3,0.28,0.08,0.09,0.11,0,1,,,16620,04:37:00,,,,,
0,5,0.41,0.14,0.14,0.14,0,1,,,16650,04:37:30,,,,,
0,4,0.38,0.14,0.12,0.12,0,1,,,16680,04:38:00,,,,,
0,5,0.48,0.15,0.13,0.19,0,1,,,16710,04:38:30,,,,,
0,2,0.17,0.06,0.06,0.06,0,1,,,16740,04:39:00,,,,,
0,3,0.24,0.09,0.08,0.08,0,1,,,16770,04:39:30,,,,,
0,2,0.21,0.06,0.08,0.06,0,1,,,16800,04:40:00,,,,,
0,2,0.19,0.06,0.07,0.05,0,1,,,16830,04:40:30,,,,,
0,2,0.16,0.05,0.05,0.06,0,1,,,16860,04:41:00,,,,,
0,4,0.43,0.14,0.16,0.13,0,1,,,16890,04:41:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,16920,04:42:00,,,,,
0,5,0.52,0.18,0.17,0.17,0,1,,,16950,04:42:30,,,,,
0,3,0.26,0.09,0.09,0.08,0,1,,,16980,04:43:00,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,17010,04:43:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17040,04:44:00,,,,,
0,3,0.27,0.08,0.08,0.11,0,1,,,17070,04:44:30,,,,,
0,3,0.25,0.08,0.10,0.08,0,1,,,17100,04:45:00,,,,,
0,5,0.50,0.19,0.13,0.18,0,1,,,17130,04:45:30,,,,,
0,1,0.10,0.03,0.04,0.04,0,1,,,17160,04:46:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17190,04:46:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17220,04:47:00,,,,,
0,2,0.17,0.05,0.06,0.06,0,1,,,17250,04:47:30,,,,,
0,2,0.20,0.07,0.06,0.07,0,1,,,17280,04:48:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17310,04:48:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,17340,04:49:00,,,,,
0,2,0.19,0.07,0.05,0.07,0,1,,,17370,04:49:30,,,,,
0,2,0.19,0.05,0.06,0.08,0,1,,,17400,04:50:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17430,04:50:30,,,,,
0,5,0.42,0.17,0.13,0.13,0,1,,,17460,04:51:00,,,,,
0,2,0.19,0.08,0.05,0.05,0,1,,,17490,04:51:30,,,,,
0,3,0.26,0.10,0.08,0.08,0,1,,,17520,04:52:00,,,,,
0,3,0.32,0.09,0.12,0.11,0,1,,,17550,04:52:30,,,,,
0,2,0.18,0.05,0.07,0.05,0,1,,,17580,04:53:00,,,,,
0,3,0.32,0.09,0.12,0.11,0,1,,,17610,04:53:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17640,04:54:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17670,04:54:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17700,04:55:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,17730,04:55:30,,,,,
0,2,0.19,0.07,0.06,0.06,0,1,,,17760,04:56:00,,,,,
0,5,0.44,0.13,0.19,0.13,0,1,,,17790,04:56:30,,,,,
0,2,0.19,0.05,0.07,0.07,0,1,,,17820,04:57:00,,,,,
0,4,0.36,0.10,0.12,0.14,0,1,,,17850,04:57:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,17880,04:58:00,,,,,
0,4,0.41,0.14,0.11,0.16,0,1,,,17910,04:58:30,,,,,
0,3,0.29,0.12,0.08,0.09,0,1,,,17940,04:59:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,17970,04:59:30,,,,,
0,4,0.40,0.15,0.13,0.11,0,1,,,18000,05:00:00,,,,,
0,2,0.17,0.06,0.05,0.06,0,1,,,18030,05:00:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,18060,05:01:00,,,,,
0,3,0.30,0.12,0.09,0.09,0,1,,,18090,05:01:30,,,,,
0,4,0.33,0.12,0.11,0.11,0,1,,,18120,05:02:00,,,,,
0,5,0.49,0.20,0.14,0.15,0,1,,,18150,05:02:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,18180,05:03:00,,,,,
0,2,0.20,0.08,0.07,0.05,0,1,,,18210,05:03:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,18240,05:04:00,,,,,
0,4,0.42,0.15,0.13,0.15,0,1,,,18270,05:04:30,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,18300,05:05:00,,,,,
0,2,0.17,0.05,0.06,0.06,0,1,,,18330,05:05:30,,,,,
0,5,0.45,0.16,0.16,0.14,0,1,,,18360,05:06:00,,,,,
0,2,0.20,0.05,0.07,0.08,0,1,,,18390,05:06:30,,,,,
0,4,0.33,0.11,0.12,0.10,0,1,,,18420,05:07:00,,,,,
0,5,0.44,0.14,0.17,0.13,0,1,,,18450,05:07:30,,,,,
0,3,0.30,0.09,0.10,0.10,0,1,,,18480,05:08:00,,,,,
0,4,0.32,0.10,0.11,0.10,0,1,,,18510,05:08:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,18540,05:09:00,,,,,
0,4,0.38,0.14,0.11,0.13,0,1,,,18570,05:09:30,,,,,
0,5,0.45,0.16,0.17,0.13,0,1,,,18600,05:10:00,,,,,
0,3,0.25,0.09,0.09,0.08,0,1,,,18630,05:10:30,,,,,
0,4,0.42,0.13,0.14,0.15,0,1,,,18660,05:11:00,,,,,
0,2,0.18,0.05,0.07,0.05,0,1,,,18690,05:11:30,,,,,
0,2,0.21,0.07,0.07,0.07,0,1,,,18720,05:12:00,,,,,
0,5,0.48,0.16,0.16,0.17,0,1,,,18750,05:12:30,,,,,
0,2,0.16,0.05,0.06,0.05,0,1,,,18780,05:13:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,18810,05:13:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,18840,05:14:00,,,,,
0,2,0.19,0.07,0.06,0.05,0,1,,,18870,05:14:30,,,,,
0,3,0.30,0.09,0.11,0.09,0,1,,,18900,05:15:00,,,,,
0,3,0.29,0.08,0.11,0.10,0,1,,,18930,05:15:30,,,,,
0,4,0.34,0.11,0.11,0.12,0,1,,,18960,05:16:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,18990,05:16:30,,,,,
0,2,0.18,0.06,0.06,0.06,0,1,,,19020,05:17:00,,,,,
0,2,0.16,0.05,0.05,0.05,0,1,,,19050,05:17:30,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,19080,05:18:00,,,,,
0,5,0.44,0.13,0.14,0.17,0,1,,,19110,05:18:30,,,,,
0,5,0.52,0.19,0.17,0.16,0,1,,,19140,05:19:00,,,,,
0,3,0.26,0.08,0.09,0.09,0,1,,,19170,05:19:30,,,,,
0,2,0.18,0.06,0.06,0.06,0,1,,,19200,05:20:00,,,,,
0,5,0.53,0.15,0.19,0.19,0,1,,,19230,05:20:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19260,05:21:00,,,,,
0,5,0.46,0.15,0.18,0.13,0,1,,,19290,05:21:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19320,05:22:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,19350,05:22:30,,,,,
0,5,0.45,0.19,0.14,0.13,0,1,,,19380,05:23:00,,,,,
0,2,0.17,0.06,0.05,0.06,0,1,,,19410,05:23:30,,,,,
0,5,0.47,0.16,0.19,0.13,0,1,,,19440,05:24:00,,,,,
0,3,0.27,0.08,0.10,0.09,0,1,,,19470,05:24:30,,,,,
0,5,0.48,0.18,0.17,0.14,0,1,,,19500,05:25:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19530,05:25:30,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,19560,05:26:00,,,,,
0,4,0.40,0.13,0.14,0.13,0,1,,,19590,05:26:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19620,05:27:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19650,05:27:30,,,,,
0,1,0.11,0.04,0.04,0.04,0,1,,,19680,05:28:00,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,19710,05:28:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,19740,05:29:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19770,05:29:30,,,,,
0,3,0.33,0.11,0.12,0.10,0,1,,,19800,05:30:00,,,,,
0,4,0.34,0.13,0.11,0.11,0,1,,,19830,05:30:30,,,,,
0,5,0.43,0.15,0.16,0.13,0,1,,,19860,05:31:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19890,05:31:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,19920,05:32:00,,,,,
0,4,0.39,0.15,0.11,0.13,0,1,,,19950,05:32:30,,,,,
0,5,0.44,0.16,0.14,0.14,0,1,,,19980,05:33:00,,,,,
0,3,0.28,0.11,0.08,0.09,0,1,,,20010,05:33:30,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,20040,05:34:00,,,,,
0,4,0.43,0.14,0.15,0.13,0,1,,,20070,05:34:30,,,,,
0,4,0.37,0.15,0.11,0.11,0,1,,,20100,05:35:00,,,,,
0,3,0.31,0.10,0.09,0.11,0,1,,,20130,05:35:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20160,05:36:00,,,,,
0,5,0.50,0.15,0.19,0.16,0,1,,,20190,05:36:30,,,,,
0,2,0.19,0.05,0.06,0.07,0,1,,,20220,05:37:00,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,20250,05:37:30,,,,,
0,3,0.28,0.11,0.08,0.10,0,1,,,20280,05:38:00,,,,,
0,2,0.22,0.08,0.08,0.06,0,1,,,20310,05:38:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20340,05:39:00,,,,,
0,1,0.12,0.04,0.04,0.04,0,1,,,20370,05:39:30,,,,,
0,5,0.41,0.14,0.13,0.14,0,1,,,20400,05:40:00,,,,,
0,2,0.20,0.06,0.07,0.07,0,1,,,20430,05:40:30,,,,,
0,2,0.18,0.05,0.07,0.06,0,1,,,20460,05:41:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20490,05:41:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20520,05:42:00,,,,,
0,4,0.35,0.13,0.11,0.11,0,1,,,20550,05:42:30,,,,,
0,2,0.21,0.08,0.06,0.07,0,1,,,20580,05:43:00,,,,,
0,2,0.16,0.05,0.06,0.05,0,1,,,20610,05:43:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20640,05:44:00,,,,,
0,4,0.34,0.11,0.12,0.11,0,1,,,20670,05:44:30,,,,,
0,5,0.50,0.13,0.17,0.20,0,1,,,20700,05:45:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,20730,05:45:30,,,,,
